method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status,global_silhouette_non_singleton,species,group,group_id
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,1.0,True,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,,not_computed,0.21681487,Brucella melitensis,melitensis,1
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,1.0,True,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,0.30105315,clear,0.21681487,Brucella sp. 2002734562,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,1.0,True,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.03275002,possibly_misplaced,0.21681487,Brucella sp. B13-0095,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,1.0,True,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.12712252,possibly_misplaced,0.21681487,Brucella sp. 09RB8471,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,1.0,True,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.13074216,possibly_misplaced,0.21681487,Brucella sp. 09RB8910,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,1.0,True,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,0.10289862,clear,0.21681487,Brucella sp. 2280,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,1.0,True,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,0.13200957,clear,0.21681487,Brucella sp. DSM 103976,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,1.0,True,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,0.16501455,clear,0.21681487,Brucella sp. 6810,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,1.0,True,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,0.03524664,weak/ambiguous,0.21681487,Brucella sp. BO2,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,1.0,True,GCA_900000005.1_BVF60_genomic.fa,vulpis,,not_computed,0.21681487,Brucella vulpis,vulpis,5
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,1.0,True,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,0.140899,clear,0.21681487,Brucella sp. 10RB9215,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,1.0,True,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,,not_computed,0.21681487,Brucella inopinata,inopinata,6
