method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status,global_silhouette_non_singleton,species,group,group_id
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,0.33688707,clear,0.22424667,Brucella sp. UK40/99,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,0.32590207,clear,0.22424667,Brucella sp. 04-5288,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_000691585.1_ASM69158v1_genomic.fa,canis,,not_computed,0.22424667,Brucella canis,canis,3
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.73358262,clear,0.22424667,Brucella abortus,abortus,0
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,0.71845403,clear,0.22424667,Brucella abortus,abortus,0
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_000740235.1_ASM74023v1_genomic.fa,suis,,not_computed,0.22424667,Brucella suis,suis,2
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,,not_computed,0.22424667,Brucella pinnipedialis,pinnipedialis,4
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,,not_computed,0.22424667,Brucella melitensis,melitensis,1
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,0.31068483,clear,0.22424667,Brucella sp. 2002734562,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.02569273,possibly_misplaced,0.22424667,Brucella sp. B13-0095,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.1229662,possibly_misplaced,0.22424667,Brucella sp. 09RB8471,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.12695194,possibly_misplaced,0.22424667,Brucella sp. 09RB8910,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,0.10959742,clear,0.22424667,Brucella sp. 2280,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,0.13866664,clear,0.22424667,Brucella sp. DSM 103976,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,0.17207527,clear,0.22424667,Brucella sp. 6810,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,0.04234222,weak/ambiguous,0.22424667,Brucella sp. BO2,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_900000005.1_BVF60_genomic.fa,vulpis,,not_computed,0.22424667,Brucella vulpis,vulpis,5
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,0.14755609,clear,0.22424667,Brucella sp. 10RB9215,Brucella_sp,7
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,,not_computed,0.22424667,Brucella inopinata,inopinata,6
